#,ML Number,Status,Address,City,Zip,Legal Subdivision Name,Subdivision/Condo Name,Heated Area,Current Price,Beds,Full Baths,Half Baths,Year Built,Pool,Property Style,Ownership,Tax,CDOM,ADOM,Days to Contract,Sold Terms,Close Date,LP / SqFt,SP/SqFt,SP / LP
2975,J970384,SLD,3471 JUNIPER SPRINGS ST,WESLEY CHAPEL,33543,WINDING RIDGE,,"4,501","$1,451,897 ",4,4,1,2023,Private,Single Family Residence,Fee Simple,$542.66 ,0,0,-251,Conventional,12/27/2023,$322.57 ,$322.57 ,1
2976,T3492769,SLD,3334 JUNIPER SPRINGS ST,WESLEY CHAPEL,33543,WINDING RIDGE,,"4,501","$1,470,000 ",4,5,1,2023,"Private, Community",Single Family Residence,Fee Simple,"$12,000.00 ",54,54,54,Conventional,4/23/2024,$344.35 ,$326.59 ,0.95
2977,T3498246,SLD,3083 JUNIPER SPRINGS ST,WESLEY CHAPEL,33543,WINDING RIDGE,,"4,053","$1,515,000 ",5,5,1,2022,Private,Single Family Residence,Fee Simple,"$11,528.66 ",4,4,4,Conventional,3/4/2024,$382.43 ,$373.80 ,0.98
2978,T3504110,SLD,6133 BOYETTE RD,WESLEY CHAPEL,33545,NONE,,"1,856","$1,850,000 ",3,2,0,2004,None,Single Family Residence,Fee Simple,"$2,557.00 ",0,0,0,Cash,5/22/2024,$996.77 ,$996.77 ,1
2979,T3504044,EXP,4774 FOX HUNT DR Unit#B108,WESLEY CHAPEL,33543,SADDLEBROOK CONDO CL 01,,955,"$65,000 ",2,2,0,1980,None,Condo - Hotel,Fee Simple,$781.00 ,4,4,,,,$68.06 ,,
2980,A4593913,EXP,30539 MASCO DR,WESLEY CHAPEL,33545,WILLIAMS DOUBLE BRANCH ESTATES,,"1,152","$174,900 ",2,2,0,1976,None,Mobile Home - Pre 1976,Fee Simple,$641.00 ,12,12,,,,$151.82 ,,
2981,S5099225,EXP,6343 ANGUS VALLEY DR,WESLEY CHAPEL,33544,ANGUS VALLEY UNIT 3 UNREC,,"1,440","$200,000 ",3,2,0,1988,None,Manufactured Home - Post 1977,Fee Simple,"$1,654.00 ",119,119,,,,$138.89 ,,
2982,U8230261,EXP,30204 GOODWICK WAY,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 16 UNIT 3B,,"1,828","$289,999 ",3,2,1,2004,Community,Townhouse,Fee Simple,"$5,324.46 ",180,180,,,,$158.64 ,,
2983,T3502147,EXP,4393 FENNWOOD CT,WESLEY CHAPEL,33543,MEADOW POINTE IV PRCL I,,"1,649","$309,999 ",3,2,1,2015,Community,Townhouse,Fee Simple,"$4,262.56 ",179,179,,,,$187.99 ,,
2984,T3499398,EXP,6905 SOTRA ST,WESLEY CHAPEL,33545,BRIDGEWATER PH 01 & 02,,"1,782","$359,000 ",4,3,0,2004,None,Single Family Residence,Fee Simple,"$4,703.79 ",343,343,,,,$201.46 ,,
2985,T3493084,EXP,7430 STONEBROOK CIR,WESLEY CHAPEL,33545,WATERGRASS PRCL F-2,,"1,587","$368,000 ",3,2,0,2020,Community,Villa,Fee Simple,"$3,983.30 ",134,134,,,,$231.88 ,,
2986,T3500038,EXP,32575 CANYONLANDS DR,WESLEY CHAPEL,33543,UNION PARK PH 8B & 8C,,"1,516","$379,900 ",3,2,0,2021,Community,Single Family Residence,Fee Simple,"$7,535.00 ",159,159,,,,$250.59 ,,
2987,T3493455,EXP,7809 STONEY HILL DR,WESLEY CHAPEL,33545,PALM COVE PH 02,,"2,515","$455,000 ",5,2,1,2006,None,Single Family Residence,Fee Simple,"$3,590.00 ",247,201,,,,$180.91 ,,
2988,T3500106,EXP,4402 O ROURKE CT,WESLEY CHAPEL,33543,COUNTRY WALK INCREMENT B PH 02,,"2,443","$469,900 ",4,2,1,2016,Community,Single Family Residence,Fee Simple,"$7,427.92 ",126,126,,,,$192.35 ,,
2989,S5098348,EXP,7675 POOL COMPASS LOOP,WESLEY CHAPEL,33545,EPPERSON RANCH SOUTH PH 3B &,,"2,172","$479,990 ",4,2,1,2019,None,Single Family Residence,Fee Simple,"$5,898.22 ",180,180,,,,$220.99 ,,
2990,S5098208,EXP,8674 BOWER BASS CIR,WESLEY CHAPEL,33545,EPPERSON RANCH PH 6-2,,"2,037","$479,990 ",4,2,1,2021,None,Single Family Residence,Fee Simple,"$7,864.55 ",177,177,,,,$235.64 ,,
2991,T3507006,EXP,27029 FIREBUSH DR,WESLEY CHAPEL,33544,SEVEN OAKS PRCL S-9,,"2,660","$569,900 ",4,3,0,2004,None,Single Family Residence,Fee Simple,"$5,641.00 ",416,297,,,,$214.25 ,,
2992,T3506732,EXP,30737 LINDENTREE DR,WESLEY CHAPEL,33543,THE RIDGE WIREGRASS,,"2,072","$570,000 ",4,3,0,2019,None,Single Family Residence,Fee Simple,"$4,945.00 ",182,182,,,,$275.10 ,,
2993,T3499128,EXP,26838 DEACON LOOP,WESLEY CHAPEL,33544,FOX RUN,,"1,882","$625,000 ",3,3,0,2000,Private,Single Family Residence,Fee Simple,"$4,365.00 ",68,68,,,,$332.09 ,,
2994,T3493439,EXP,30310 FIVE FARMS AVE,WESLEY CHAPEL,33543,COUNTRY WALK INCREMENT E PH 01,,"2,499","$629,000 ",4,3,0,2016,Community,Single Family Residence,Fee Simple,"$4,652.00 ",188,188,,,,$251.70 ,,
2995,U8232442,EXP,32768 TREE OF LIFE AVE,WESLEY CHAPEL,33543,WINDING RDG PH 1 & 2,,"2,492","$635,000 ",4,3,0,2022,None,Single Family Residence,Fee Simple,"$7,309.61 ",185,185,,,,$254.82 ,,
2996,U8231613,EXP,3281 GREAT BANYAN WAY,WESLEY CHAPEL,33543,WINDING RDG PH 1 & 2,,"2,961","$735,000 ",4,4,0,2022,None,Single Family Residence,Fee Simple,"$6,483.96 ",182,182,,,,$248.23 ,,
2997,T3502012,EXP,29008 PERILLI PL,WESLEY CHAPEL,33543,ESTANCIA PH 1D,,"3,245","$740,000 ",4,2,1,2015,Community,Single Family Residence,Fee Simple,"$12,268.38 ",119,119,,,,$228.04 ,,
2998,U8228339,EXP,3350 WATERMARK DR,WESLEY CHAPEL,33544,SEVEN OAKS,,"3,473","$899,900 ",5,3,1,2011,Private,Single Family Residence,Fee Simple,"$14,130.00 ",91,91,,,,$259.11 ,,
2999,S5099207,EXP,9014 IVY STARK BLVD,WESLEY CHAPEL,33545,EPPERSON NORTH VILLAGE D-1,,"4,633","$1,099,000 ",6,4,1,2021,None,Single Family Residence,Fee Simple,"$3,446.00 ",204,204,,,,$237.21 ,,
3000,T3493707,EXP,29318 WHIPPORWILL LN,WESLEY CHAPEL,33543,SADDLEBROOK,,"2,324","$1,400,000 ",3,2,0,1976,None,Single Family Residence,Fee Simple,"$6,671.00 ",365,365,,,,$602.41 ,,
3001,O6148002,ACT,29129 BAY HOLLOW DR Unit#3208,WESLEY CHAPEL,33543,SADDLEBROOK CONDO CL 05,,"1,519","$375,000 ",3,3,0,1982,Community,Condominium,Fee Simple,"$2,388.49 ",452,452,,,,$246.87 ,,
3002,T3480434,PND,4646 GAROFALO RD,WESLEY CHAPEL,33545,ESPLANADE AT WIREGRASS RANCH,,"1,926","$496,100 ",3,2,0,2023,Community,Single Family Residence,Fee Simple,$0.00 ,173,173,173,,,$257.58 ,,
3003,T3477634,SLD,4758 FOX HUNT DR Unit#C436,WESLEY CHAPEL,33543,SADDLEBROOK,,955,"$49,999 ",2,2,0,1981,Community,Condo - Hotel,Fee Simple,$531.00 ,6,6,7,Cash,12/15/2023,$52.35 ,$52.35 ,1
3004,T3478939,SLD,4748 FOX HUNT DR NW Unit#942,WESLEY CHAPEL,33543,SADDLEBROOK,,918,"$57,500 ",1,1,0,1984,None,Condo - Hotel,Fee Simple,$565.00 ,2,2,2,Cash,2/14/2024,$62.64 ,$62.64 ,1
3005,T3490257,SLD,4752 FOX HUNT DR Unit#812,WESLEY CHAPEL,33543,SADDLEBROOK CONDO CL 03,,"1,015","$75,000 ",2,2,0,1982,Community,Condo - Hotel,Condominium,$563.06 ,57,57,99,Cash,5/29/2024,$67.98 ,$73.89 ,1.09
3006,T3484656,SLD,34251 LODGE DR,WESLEY CHAPEL,33543,TIMBER LAKE ESTATES,,600,"$90,000 ",1,1,0,2008,Community,Manufactured Home - Post 1977,Condominium,"$1,271.00 ",18,18,79,Cash,2/6/2024,$158.33 ,$150 ,0.95
3007,T3490660,SLD,30408 EASTPORT DR,WESLEY CHAPEL,33544,WILLIAMS DOUBLE BRANCH,,"1,248","$100,000 ",3,2,0,1980,None,Manufactured Home - Post 1977,Fee Simple,$396.80 ,0,0,0,Cash,12/29/2023,$80.13 ,$80.13 ,1
3008,T3483683,SLD,6971 MANGROVE DR,WESLEY CHAPEL,33544,ANGUS VALLEY,,960,"$100,000 ",3,2,0,1979,None,Manufactured Home - Post 1977,Fee Simple,"$1,121.00 ",1,1,1,Cash,11/21/2023,$125.00 ,$104.17 ,0.83
3009,W7859060,SLD,3105 BRIAR ST,WESLEY CHAPEL,33543,TIMBER LAKE ESTATES,,"1,120","$107,000 ",3,2,0,1989,None,Manufactured Home - Post 1977,Condominium,$523.00 ,58,58,90,Cash,1/30/2024,$129.46 ,$95.54 ,0.74
3010,T3488078,SLD,34040 BROWN BYU,WESLEY CHAPEL,33543,TIMBER LAKE ESTATES,,"1,008","$142,000 ",2,2,0,1997,Community,Modular Home,Fee Simple,$689.54 ,92,92,92,Cash,3/20/2024,$158.63 ,$140.87 ,0.89
3011,U8219396,SLD,3830 JULIE DR,WESLEY CHAPEL,33543,TERRACE PARK 02,,912,"$148,000 ",2,1,0,1992,Community,Modular Home,Fee Simple,"$1,416.75 ",201,201,201,VA,7/3/2024,$164.47 ,$162.28 ,0.99
3012,T3484520,SLD,30045 GRANDA HILLS CT,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 14,,"1,184","$155,000 ",2,1,1,1999,None,Townhouse,Fee Simple,"$3,601.00 ",16,16,26,Cash,3/8/2024,$168.83 ,$130.91 ,0.78
3013,T3484267,SLD,6726 ANGUS VALLEY DR,WESLEY CHAPEL,33544,ANGUS VALLEY,,"1,296","$170,000 ",3,2,0,2000,None,Manufactured Home - Post 1977,Fee Simple,"$1,852.00 ",35,35,45,Cash,2/2/2024,$183.64 ,$131.17 ,0.71
3014,T3488067,SLD,4035 ERNEST DR,WESLEY CHAPEL,33543,WILLIAMS NEW RIVER ACRES UNREC,,"1,000","$175,000 ",3,2,0,1984,None,Manufactured Home - Post 1977,Fee Simple,$971.17 ,5,5,8,Cash,12/20/2023,$175.00 ,$175 ,1
3015,T3480027,SLD,3837 KIAH DR,WESLEY CHAPEL,33543,TERRACE PARK PH 03,,960,"$179,900 ",3,2,0,1997,None,Manufactured Home - Post 1977,Fee Simple,"$1,348.34 ",7,7,7,Conventional,11/27/2023,$187.40 ,$187.40 ,1
3016,T3490462,SLD,26545 GLENWOOD DR,WESLEY CHAPEL,33544,ANGUS VALLEY,,"1,296","$199,000 ",3,2,0,2018,None,Manufactured Home - Post 1977,Fee Simple,"$2,307.00 ",9,9,9,FHA,3/14/2024,$150.46 ,$153.55 ,1.02
3017,T3483363,SLD,26553 BRAHMA,WESLEY CHAPEL,33544,ANGUS VALLEY UNIT 3,,"1,104","$203,000 ",3,2,0,1997,None,Manufactured Home - Post 1977,Fee Simple,"$1,272.00 ",22,22,27,Seller Financing,1/26/2024,$183.88 ,$183.88 ,1
3018,T3491137,SLD,1301 DENMAN CT,WESLEY CHAPEL,33543,MEADOW POINTE,,"1,460","$225,000 ",3,2,1,2003,Community,Townhouse,Fee Simple,"$1,839.00 ",93,93,93,Conventional,4/19/2024,$157.53 ,$154.11 ,0.98
3019,T3487317,SLD,1320 COSTA MESA DR,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 14,,"1,184","$225,000 ",2,2,1,2000,Community,Townhouse,Fee Simple,"$3,143.04 ",74,74,76,Cash,2/16/2024,$194.26 ,$190.03 ,0.98
3020,T3482389,SLD,1420 COSTA MESA DR,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 14,,"1,184","$225,000 ",2,2,1,2000,Community,Townhouse,Fee Simple,"$3,349.49 ",99,99,100,Conventional,3/5/2024,$194.26 ,$190.03 ,0.98
3021,T3484857,SLD,6438 MANGROVE DR,WESLEY CHAPEL,33544,ANGUS VALLEY,,"1,984","$245,000 ",3,2,0,1999,None,Manufactured Home - Post 1977,Fee Simple,"$2,926.79 ",121,121,130,FHA,4/26/2024,$125.76 ,$123.49 ,0.98
3022,T3485419,SLD,1417 LYONSHIRE DR,WESLEY CHAPEL,33543,MEADOW POINTE,,"1,254","$247,000 ",3,2,1,2001,Community,Townhouse,Fee Simple,"$3,675.00 ",12,12,12,FHA,12/28/2023,$199.36 ,$196.97 ,0.99
3023,T3490815,SLD,4947 MILL POND RD Unit#3101,WESLEY CHAPEL,33543,SADDLEBROOK,,832,"$250,000 ",1,1,0,1981,None,Condominium,Fee Simple,"$2,332.00 ",93,93,93,Cash,5/8/2024,$312.50 ,$300.48 ,0.96
3024,T3491787,SLD,27609 PLEASURE RIDE LOOP,WESLEY CHAPEL,33544,SADDLE CRK MANOR,,"1,176","$256,000 ",2,2,0,2005,None,Townhouse,Fee Simple,"$1,482.78 ",280,99,115,Conventional,5/13/2024,$221.09 ,$217.69 ,0.98
3025,T3486136,SLD,30134 BARNABY LN,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 16,,"1,254","$260,000 ",3,2,1,2002,Community,Townhouse,Fee Simple,"$2,297.69 ",64,64,64,FHA,2/29/2024,$207.26 ,$207.34 ,1
3026,T3485546,SLD,31241 CLARIDGE PL,WESLEY CHAPEL,33543,MEADOW POINTE 03 PRCL CC,,"1,559","$272,000 ",3,2,1,2014,Community,Townhouse,Fee Simple,"$3,879.00 ",37,37,41,Conventional,2/29/2024,$182.81 ,$174.47 ,0.95
3027,U8219945,SLD,6015 BOYETTE RD,WESLEY CHAPEL,33545,BOYETTE,,"2,052","$272,000 ",4,2,0,1998,None,Manufactured Home - Post 1977,Fee Simple,"$1,532.00 ",36,36,36,FHA,1/29/2024,$136.45 ,$132.55 ,0.97
3028,T3477607,SLD,4385 FENNWOOD CT,WESLEY CHAPEL,33543,MEADOW POINTE IV PRCL I,,"1,649","$275,000 ",3,2,1,2015,Community,Townhouse,Fee Simple,"$5,994.00 ",273,273,283,FHA,8/9/2024,$169.74 ,$166.77 ,0.98
3029,W7860068,SLD,1019 BLACKWATER DR,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 16 UNIT 3B,,"1,902","$278,250 ",3,2,1,2004,None,Single Family Residence,Fee Simple,"$1,998.00 ",5,5,34,Cash,1/21/2024,$147.21 ,$146.29 ,0.99
3030,J969809,SLD,34257 CARRONADE CT,WESLEY CHAPEL,33543,RIVER LNDG PHS 2E-2F-3E,,"1,373","$279,970 ",3,2,1,2023,Community,Townhouse,Fee Simple,$916.55 ,0,0,-269,Conventional,11/13/2023,$203.91 ,$203.91 ,1
3031,T3476722,SLD,31201 SHAKER CIR,WESLEY CHAPEL,33543,MEADOW POINTE 03 PH 01 UNIT 1C-1,,"1,607","$280,000 ",3,2,0,2003,Community,Villa,Fee Simple,"$2,879.00 ",87,87,92,Conventional,2/14/2024,$179.22 ,$174.24 ,0.97
3032,J969718,SLD,2415 PARAVANE WAY Unit#2415,WESLEY CHAPEL,33543,THE TOWNHOMES OF RIVER LANDING,,"1,373","$282,900 ",3,2,1,2023,None,Townhouse,Fee Simple,$916.55 ,0,0,-27,Cash,12/8/2023,$206.05 ,$206.05 ,1
3033,T3477813,SLD,6441 TABOGI TRL,WESLEY CHAPEL,33545,CHAPEL PINES PH 03,,"1,158","$289,000 ",3,2,0,2005,None,Single Family Residence,Fee Simple,"$3,064.91 ",7,7,11,Conventional,11/27/2023,$261.66 ,$249.57 ,0.95
3034,GC517747,SLD,27129 LA JOLLA WAY,WESLEY CHAPEL,33544,NORTHWOOD,,"1,174","$290,000 ",3,2,0,2002,Community,Single Family Residence,Fee Simple,"$3,906.00 ",169,169,178,Conventional,6/24/2024,$255.45 ,$247.02 ,0.97
3035,J968962,SLD,2524 PARAVANE WAY,WESLEY CHAPEL,33543,THE TOWNHOMES OF RIVER LANDING,,"1,373","$295,000 ",3,2,1,2023,Community,Townhouse,Fee Simple,$950.31 ,0,0,-302,Cash,11/20/2023,$214.86 ,$214.86 ,1
3036,T3476662,SLD,2362 PARAVANE WAY,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$296,143 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$4,000.00 ",89,89,89,Conventional,3/27/2024,$226.80 ,$215.69 ,0.95
3037,T3490156,SLD,2420 PARAVANE WAY,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$296,623 ",3,2,1,2023,Community,Townhouse,Fee Simple,$0.00 ,12,12,12,Cash,1/16/2024,$232.99 ,$216.04 ,0.93
3038,T3486653,SLD,27505 DESERT WILLOW WAY,WESLEY CHAPEL,33544,SANTA FE AT WESTBROOKE,,"1,676","$300,000 ",4,3,0,2016,Community,Townhouse,Fee Simple,"$3,188.26 ",96,96,97,Conventional,3/25/2024,$190.93 ,$179 ,0.94
3039,U8220262,SLD,26538 CASTLEVIEW WAY,WESLEY CHAPEL,33543,BAY AT CYPRESS CREEK,,"1,545","$300,000 ",3,2,1,2005,Community,Townhouse,Condominium,$914.00 ,6,6,8,Conventional,12/13/2023,$194.17 ,$194.17 ,1
3040,T3476771,SLD,30251 SOUTHWELL LN,WESLEY CHAPEL,33543,WINDERMERE ESTATES,,"1,571","$302,000 ",2,2,1,2018,Community,Townhouse,Fee Simple,"$4,142.00 ",47,47,48,Cash,12/21/2023,$199.81 ,$192.23 ,0.96
3041,T3490974,SLD,31342 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$304,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,135,135,135,FHA,6/21/2024,$182.30 ,$182.30 ,1
3042,T3489368,SLD,27016 COOL STREAM LN,WESLEY CHAPEL,33544,SEVEN OAKS PRCL S-6A B-12 B-19,,"1,597","$305,000 ",3,2,1,2007,Community,Townhouse,Fee Simple,"$4,270.92 ",9,9,11,Cash,12/22/2023,$194.11 ,$190.98 ,0.98
3043,O6153436,SLD,7688 IMAGINATION PL,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$305,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,157,157,157,Conventional,6/18/2024,$195.71 ,$194.76 ,1
3044,O6153432,SLD,7704 IMAGINATION PL,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$305,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,174,174,174,Conventional,6/26/2024,$198.90 ,$194.76 ,0.98
3045,T3480042,SLD,33852 CODDLE CT,WESLEY CHAPEL,33543,DOVE RUN,,"1,404","$305,000 ",3,2,0,2003,None,Manufactured Home - Post 1977,Fee Simple,$735.35 ,26,26,26,FHA,12/19/2023,$213.60 ,$217.24 ,1.02
3046,T3479862,SLD,27038 COOL STREAM LN,WESLEY CHAPEL,33544,SEVEN OAKS PRCL S-6A B-12 B-19,,"1,706","$305,000 ",3,2,1,2007,Community,Townhouse,Fee Simple,"$4,367.00 ",78,78,117,FHA,3/21/2024,$184.64 ,$178.78 ,0.97
3047,O6148042,SLD,7692 IMAGINATION PL,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$305,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,216,216,216,Conventional,6/24/2024,$199.90 ,$194.76 ,0.97
3048,T3486200,SLD,2319 PARAVANE WAY,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$306,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$5,000.00 ",49,49,49,Conventional,8/15/2024,$230.76 ,$222.87 ,0.97
3049,T3481931,SLD,2354 PARAVANE WAY,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$306,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$4,000.00 ",28,28,28,FHA,3/28/2024,$226.94 ,$222.87 ,0.98
3050,T3490941,SLD,31330 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$308,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,140,140,140,Conventional,6/12/2024,$184.69 ,$184.69 ,1
3051,T3490976,SLD,31346 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$309,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,126,126,126,VA,5/28/2024,$185.29 ,$185.29 ,1
3052,T3490973,SLD,31338 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$309,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,107,107,107,Conventional,5/8/2024,$185.29 ,$185.29 ,1
3053,T3490949,SLD,31334 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$309,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,132,132,132,FHA,7/31/2024,$185.29 ,$185.29 ,1
3054,U8223435,SLD,2939 BIRCHCREEK DR,WESLEY CHAPEL,33544,SEVEN OAKS PRCL S-14A,,"1,476","$310,000 ",3,2,1,2007,Community,Townhouse,Fee Simple,"$4,223.11 ",31,31,31,Cash,1/19/2024,$214.77 ,$210.03 ,0.98
3055,T3486362,SLD,2323 PARAVANE WAY,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$310,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$4,000.00 ",43,43,43,Conventional,8/15/2024,$230.60 ,$225.78 ,0.98
3056,W7858920,SLD,7240 LOVERS LN,WESLEY CHAPEL,33544,QUAIL HOLLOW PINES,,"1,639","$310,000 ",4,2,0,2003,None,Single Family Residence,Fee Simple,"$1,890.84 ",3,3,3,Cash,10/31/2023,$164.67 ,$189.14 ,1.15
3057,T3481391,SLD,1544 COLT CREEK PL,WESLEY CHAPEL,33543,UNION PARK,,"1,673","$311,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,75,75,75,FHA,3/25/2024,$188.28 ,$185.89 ,0.99
3058,A4584568,SLD,2366 PARAVANE WAY,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$311,260 ",3,2,1,2023,Community,Townhouse,Fee Simple,$0.00 ,45,45,45,Conventional,3/27/2024,$226.70 ,$226.70 ,1
3059,T3491036,SLD,26433 WHIRLAWAY TER,WESLEY CHAPEL,33544,LEXINGTON OAKS PH 12,,"1,472","$312,000 ",3,2,0,2001,Community,Villa,Fee Simple,"$4,042.59 ",112,112,141,Conventional,5/31/2024,$216.03 ,$211.96 ,0.98
3060,T3486105,SLD,2311 PARAVANE WAY,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$312,200 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$5,000.00 ",15,15,15,Conventional,8/20/2024,$231.03 ,$227.39 ,0.98
3061,T3481407,SLD,1526 COLT CREEK PL,WESLEY CHAPEL,33543,UNION PARK,,"1,673","$314,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,83,83,89,Conventional,3/26/2024,$188.28 ,$188.28 ,1
3062,T3481406,SLD,1530 COLT CREEK PL,WESLEY CHAPEL,33543,UNION PARK,,"1,673","$314,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,86,86,86,Conventional,3/27/2024,$188.28 ,$188.28 ,1
3063,T3481404,SLD,1534 COLT CREEK PL,WESLEY CHAPEL,33543,UNION PARK,,"1,673","$314,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,89,89,89,Conventional,3/27/2024,$188.28 ,$188.28 ,1
3064,T3481400,SLD,1540 COLT CREEK PL,WESLEY CHAPEL,33543,UNION PARK,,"1,673","$314,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,80,80,80,Conventional,2/29/2024,$188.28 ,$188.28 ,1
3065,T3479856,SLD,5697 ENGLISH OAK LN,WESLEY CHAPEL,33545,WESTGATE AT AVALON PARK,,"1,673","$314,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,74,74,74,FHA,3/21/2024,$188.28 ,$188.28 ,1
3066,J967557,SLD,7705 MOMENTUM PARKWAY,WESLEY CHAPEL,33545,THE TOWNS AT WATERGRASS,,"1,808","$315,665 ",3,2,1,2023,Community,Townhouse,Fee Simple,$959.00 ,0,0,-147,Conventional,9/27/2023,$174.59 ,$174.59 ,1
3067,J968695,SLD,1384 COLT CREEK PL,WESLEY CHAPEL,33543,UNION PK PHS 7F1 & 7F2,,"1,673","$315,990 ",3,2,1,2023,Community,Townhouse,Fee Simple,"$1,955.08 ",0,0,-173,Conventional,11/13/2023,$188.88 ,$188.88 ,1
3068,T3479842,SLD,5683 ENGLISH OAK LN,WESLEY CHAPEL,33545,WESTGATE AT AVALON PARK,,"1,673","$315,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,69,69,76,Conventional,3/23/2024,$188.88 ,$188.88 ,1
3069,T3479026,SLD,32992 TULIP PETAL LN,WESLEY CHAPEL,33545,WESTGATE AT AVALON PARK,,"1,673","$315,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,1,1,1,FHA,12/21/2023,$188.88 ,$188.88 ,1
3070,T3486196,SLD,2315 PARAVANE WAY,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$316,232 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$5,000.00 ",50,50,50,FHA,8/18/2024,$231.48 ,$230.32 ,1
3071,T3481403,SLD,1538 COLT CREEK PL,WESLEY CHAPEL,33543,UNION PARK,,"1,673","$317,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,54,54,57,FHA,2/29/2024,$190.07 ,$190.07 ,1
3072,J967751,SLD,32427 TURTLE GRACE LOOP,WESLEY CHAPEL,33545,MEADOW RIDGE,,"1,673","$318,990 ",3,2,1,2023,Community,Townhouse,Fee Simple,$0.00 ,0,0,-15,Cash,10/18/2023,$190.67 ,$190.67 ,1
3073,T3480427,SLD,31516 SHAKER CIR,WESLEY CHAPEL,33543,MEADOW POINTE 03 PH 01 UNIT 1C-1,,"1,722","$319,000 ",3,2,0,2003,None,Villa,Fee Simple,"$5,085.39 ",35,35,41,VA,12/29/2023,$185.25 ,$185.25 ,1
3074,T3490979,SLD,31350 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,758","$319,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,99,99,99,FHA,5/13/2024,$182.02 ,$182.02 ,1
3075,T3490693,SLD,3753 SILVERLAKE WAY,WESLEY CHAPEL,33544,SEVEN OAKS PARCEL S-6A,,"1,682","$320,000 ",3,2,1,2015,None,Townhouse,Fee Simple,"$3,409.00 ",31,31,31,FHA,2/14/2024,$189.06 ,$190.25 ,1.01
3076,T3489790,SLD,34332 REDWOOD DAWN LN,WESLEY CHAPEL,33543,SUMMERSTONE,,"1,758","$320,000 ",3,2,1,2022,Community,Townhouse,Fee Simple,"$1,295.00 ",29,29,29,FHA,2/7/2024,$182.03 ,$182.03 ,1
3077,T3487345,SLD,9922 CURLEY RD,WESLEY CHAPEL,33545,NONE,,"1,210","$320,000 ",3,2,0,1968,None,Single Family Residence,Fee Simple,"$1,498.29 ",142,142,143,FHA,5/13/2024,$280.00 ,$264.46 ,0.94
